city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
32,0.682,1,0,0,0,0,2,5,0,5,172,1.0
0,0.92,1,0,0,0,0,12,6,5,0,48,0.0
33,0.802,0,0,1,0,0,19,0,0,0,33,0.0
6,0.92,0,1,1,2,0,8,6,0,0,142,0.0
34,0.579,0,1,1,0,0,8,6,0,0,34,0.0
33,0.802,0,0,0,0,0,18,0,0,5,14,1.0
25,0.55,0,0,0,0,0,18,5,0,5,27,1.0
25,0.55,0,0,0,0,0,20,6,0,0,24,1.0
35,0.878,0,1,0,1,0,0,6,0,0,150,0.0
0,0.92,1,0,0,0,0,4,7,5,1,20,0.0
0,0.92,1,0,0,0,0,2,7,5,0,140,0.0
15,0.91,0,0,0,0,0,16,3,0,0,52,0.0
23,0.939,0,0,0,0,0,0,0,0,5,160,0.0
36,0.897,0,0,0,1,0,19,3,0,5,3,0.0
2,0.624,0,0,0,0,0,8,1,0,5,2,1.0
15,0.91,0,0,0,0,0,0,4,0,1,28,0.0
22,0.754,0,0,0,0,5,0,4,0,3,46,0.0
13,0.855,0,0,0,0,0,20,0,0,0,210,0.0
9,0.926,0,0,0,0,0,12,1,0,0,36,0.0
37,0.949,0,1,1,0,0,11,1,0,0,160,1.0
2,0.624,0,0,1,0,0,8,5,5,5,101,0.0
9,0.926,0,0,0,1,0,18,0,5,0,46,0.0
38,0.925,0,0,0,0,0,0,4,0,1,19,0.0
2,0.624,0,0,0,0,0,17,6,0,5,26,1.0
27,0.698,0,0,1,0,0,6,1,5,0,90,0.0
39,0.8959999999999999,0,0,0,0,0,19,1,0,3,59,0.0
6,0.92,0,0,2,0,1,12,0,1,0,260,0.0
2,0.624,1,0,0,0,0,4,0,0,1,74,0.0
15,0.91,0,0,0,3,0,0,6,0,5,20,1.0
35,0.878,0,0,0,0,0,16,6,0,5,8,0.0
0,0.92,0,0,0,0,0,18,6,0,0,131,0.0
40,0.836,0,0,1,1,0,6,6,0,0,45,0.0
41,0.693,0,0,1,0,0,4,5,0,5,109,0.0
13,0.855,0,0,0,0,3,17,6,0,0,70,0.0
0,0.92,1,0,0,0,0,0,6,5,1,17,0.0
0,0.92,1,1,0,1,0,1,0,0,0,51,0.0
0,0.92,1,0,0,0,0,18,0,0,4,60,1.0
28,0.893,1,1,0,3,0,0,4,4,1,4,0.0
9,0.926,0,1,0,0,0,16,6,0,1,7,0.0
12,0.804,0,0,0,1,0,0,6,0,4,164,0.0
18,0.6659999999999999,0,0,0,0,0,21,6,0,3,290,0.0
12,0.804,0,1,0,2,0,8,1,5,2,145,0.0
0,0.92,0,1,0,3,0,8,1,5,2,70,0.0
2,0.624,0,1,0,3,0,17,1,5,0,24,0.0
0,0.92,0,1,0,1,3,17,2,0,0,133,1.0
25,0.55,0,1,1,0,0,8,2,0,0,20,0.0
0,0.92,0,0,0,0,0,12,1,1,0,76,0.0
27,0.698,1,1,1,1,0,2,1,1,3,21,1.0
2,0.624,1,0,0,0,5,20,3,0,5,34,0.0
6,0.92,0,1,0,0,0,19,1,0,5,15,0.0
30,0.866,0,1,0,0,0,0,1,0,1,156,0.0
0,0.92,0,0,0,0,0,0,3,0,1,15,0.0
9,0.926,0,0,0,1,0,0,3,0,2,120,0.0
42,0.769,0,0,0,0,4,13,2,0,1,47,0.0
22,0.754,0,0,0,0,0,16,2,0,5,100,1.0
13,0.855,0,0,2,0,0,18,7,0,2,102,0.0
0,0.92,0,1,0,2,0,11,7,0,2,52,0.0
9,0.926,0,0,0,2,0,19,5,0,3,39,0.0
0,0.92,0,0,1,2,0,11,5,0,0,112,1.0
0,0.92,0,1,0,3,0,0,0,0,1,14,0.0
15,0.91,0,0,0,3,0,4,0,0,0,4,0.0
15,0.91,0,0,0,1,2,0,4,5,1,55,0.0
2,0.624,0,0,0,0,0,18,2,0,3,49,1.0
15,0.91,0,0,0,0,0,1,2,0,1,72,0.0
43,0.925,0,0,1,0,0,13,3,0,4,141,1.0
9,0.926,0,1,0,2,0,18,3,0,2,28,0.0
0,0.92,0,0,0,0,0,5,2,0,0,6,0.0
0,0.92,0,0,0,0,4,7,3,0,0,125,0.0
23,0.939,0,0,0,0,0,0,3,0,2,326,0.0
0,0.92,0,0,0,0,5,0,6,0,5,33,0.0
12,0.804,0,1,0,1,0,18,2,0,1,40,0.0
6,0.92,0,0,0,0,0,14,2,0,0,198,1.0
0,0.92,1,0,0,1,0,1,2,0,1,55,0.0
44,0.698,0,1,0,0,0,0,7,0,1,32,0.0
0,0.92,0,0,0,0,2,0,6,0,1,11,0.0
22,0.754,0,0,0,0,0,0,1,0,0,41,0.0
0,0.92,0,0,0,1,0,0,2,4,1,87,1.0
13,0.855,0,0,0,1,0,12,6,0,3,114,0.0
45,0.698,0,0,0,1,0,0,6,0,1,33,0.0
27,0.698,0,0,2,1,0,2,1,2,0,15,0.0
15,0.91,0,1,1,2,0,17,1,2,0,8,0.0
35,0.878,1,0,2,2,0,8,6,5,0,22,0.0
0,0.92,0,0,0,1,0,0,3,0,3,13,0.0
37,0.949,0,0,0,0,0,0,1,4,0,246,0.0
0,0.92,0,0,0,1,0,19,5,0,0,22,0.0
0,0.92,0,0,0,1,0,0,1,1,0,81,0.0
46,0.7759999999999999,0,0,1,0,0,11,5,1,0,11,0.0
47,0.698,0,1,1,0,0,2,3,1,0,24,1.0
0,0.92,0,0,0,0,0,0,6,1,0,50,0.0
17,0.924,0,1,1,2,0,18,6,1,2,15,0.0
48,0.939,0,0,0,1,0,0,5,0,1,31,0.0
9,0.926,0,0,0,1,0,0,0,0,2,84,0.0
36,0.897,0,0,2,0,0,11,2,0,0,42,0.0
2,0.624,0,0,0,0,0,12,5,0,1,105,1.0
0,0.92,1,0,0,0,0,0,0,0,1,72,0.0
3,0.789,0,0,0,0,0,13,5,0,1,42,1.0
47,0.698,0,0,0,0,0,1,0,2,0,152,0.0
0,0.92,0,0,0,0,0,16,2,0,0,60,0.0
2,0.624,0,1,1,1,0,8,2,0,2,8,0.0
15,0.91,0,1,1,1,0,5,2,0,4,17,1.0
20,0.923,0,1,0,2,0,10,2,0,0,33,0.0
15,0.91,0,0,0,1,0,11,6,1,2,38,0.0
0,0.92,0,0,0,0,3,13,1,2,5,178,0.0
6,0.92,0,0,0,0,0,1,0,0,0,11,0.0
28,0.893,0,0,0,2,0,0,0,0,2,87,0.0
33,0.802,0,0,0,0,0,5,0,0,2,84,0.0
16,0.884,0,0,0,0,0,0,6,2,5,32,0.0
14,0.887,0,0,0,1,0,19,6,0,0,31,1.0
2,0.624,0,1,0,0,0,8,7,4,0,39,0.0
49,0.775,0,0,0,0,0,6,5,0,0,12,0.0
2,0.624,0,0,1,0,0,2,2,0,0,50,0.0
50,0.903,0,0,0,0,0,17,6,0,0,55,1.0
25,0.55,0,0,0,0,0,2,0,0,0,7,1.0
0,0.92,0,0,0,1,3,8,0,2,0,104,0.0
6,0.92,0,0,1,0,1,0,0,2,1,90,1.0
0,0.92,0,0,0,1,5,0,6,0,1,8,0.0
2,0.624,0,1,1,0,0,8,6,0,2,102,0.0
2,0.624,0,0,0,1,0,3,5,0,0,202,1.0
51,0.555,0,0,0,0,0,11,6,0,0,22,0.0
2,0.624,0,1,1,0,0,17,6,0,2,42,0.0
6,0.92,0,1,0,4,0,11,6,0,2,50,0.0
2,0.624,0,0,0,1,0,17,0,1,0,88,0.0
22,0.754,0,0,0,0,0,2,4,0,3,81,0.0
0,0.92,0,0,0,1,0,0,2,0,0,7,0.0
2,0.624,0,1,0,1,0,17,2,0,2,218,0.0
15,0.91,0,0,0,0,0,0,2,0,1,62,0.0
0,0.92,0,0,0,0,0,18,0,0,0,83,0.0
48,0.939,0,0,0,0,0,19,4,0,1,11,0.0
9,0.926,0,1,2,3,0,0,0,0,1,10,0.0
48,0.939,0,0,0,1,0,12,4,0,0,114,0.0
2,0.624,0,0,0,1,0,17,0,0,0,36,0.0
12,0.804,0,1,0,1,0,18,5,0,0,17,0.0
15,0.91,0,1,1,0,0,8,5,0,2,80,1.0
6,0.92,0,0,2,0,0,0,0,4,1,108,0.0
0,0.92,0,0,0,0,0,8,6,0,5,45,0.0
0,0.92,0,1,1,0,0,2,6,0,2,77,0.0
9,0.926,0,0,0,1,0,1,6,0,5,8,0.0
35,0.878,0,1,0,0,0,2,6,0,0,28,0.0
52,0.727,1,0,0,0,0,19,6,1,1,37,0.0
15,0.91,1,1,1,0,0,8,6,1,5,108,1.0
0,0.92,0,0,0,0,0,5,7,0,5,162,0.0
22,0.754,0,0,1,2,0,19,7,0,1,41,0.0
50,0.903,0,0,0,1,0,15,6,0,3,4,0.0
16,0.884,1,1,0,3,0,17,4,4,0,41,0.0
50,0.903,1,0,0,0,0,7,2,0,5,12,0.0
0,0.92,0,0,0,0,0,0,0,0,0,190,0.0
2,0.624,0,0,0,0,0,6,0,0,1,29,1.0
0,0.92,0,0,0,0,0,18,6,4,0,11,0.0
0,0.92,0,1,1,2,0,17,2,0,0,30,0.0
0,0.92,0,0,0,1,0,5,6,0,1,39,0.0
12,0.804,0,0,1,2,0,19,6,0,0,16,0.0
9,0.926,0,1,0,0,0,0,0,0,1,5,0.0
53,0.698,0,1,1,2,0,20,0,0,2,39,0.0
9,0.926,0,0,0,1,0,12,0,0,1,29,0.0
2,0.624,0,0,1,1,0,11,0,5,5,210,0.0
0,0.92,2,1,2,2,0,18,0,1,0,54,0.0
6,0.92,0,0,0,0,0,19,0,0,4,44,0.0
15,0.91,0,0,0,0,0,1,0,0,1,47,0.0
0,0.92,0,0,0,0,0,0,4,5,1,74,0.0
2,0.624,0,0,0,1,0,18,5,0,0,8,1.0
2,0.624,0,1,1,0,0,6,5,0,2,20,1.0
0,0.92,0,0,0,0,0,17,7,0,0,162,0.0
28,0.893,0,1,0,0,1,8,0,0,0,110,0.0
7,0.762,2,0,2,2,1,17,5,0,0,262,0.0
40,0.836,0,0,0,1,0,13,5,0,0,6,0.0
18,0.6659999999999999,0,0,2,0,0,19,5,0,0,19,1.0
18,0.6659999999999999,2,1,0,0,0,0,0,0,1,23,1.0
2,0.624,0,1,0,0,0,3,0,0,0,107,1.0
36,0.897,0,0,0,1,0,1,2,0,1,134,0.0
9,0.926,0,0,0,1,0,4,5,2,0,40,0.0
16,0.884,0,0,0,0,0,16,0,0,0,11,0.0
6,0.92,0,0,0,0,0,4,0,0,4,102,0.0
2,0.624,0,1,1,0,0,8,0,0,2,100,0.0
20,0.923,0,1,0,1,0,17,2,0,2,30,0.0
0,0.92,0,1,0,2,0,2,2,0,0,20,1.0
0,0.92,0,0,0,0,0,13,4,0,4,4,0.0
15,0.91,0,1,0,4,0,2,4,0,2,15,0.0
2,0.624,0,1,0,0,0,3,4,0,0,14,1.0
20,0.923,0,1,0,4,0,10,4,0,2,103,0.0
6,0.92,0,0,2,0,0,2,4,4,5,40,0.0
15,0.91,0,0,0,3,0,0,6,0,5,27,0.0
9,0.926,0,1,0,2,0,12,6,0,1,46,0.0
9,0.926,0,0,0,2,0,6,0,0,1,110,0.0
0,0.92,0,0,0,0,0,5,0,1,0,96,0.0
0,0.92,0,0,0,0,0,2,2,0,5,57,0.0
6,0.92,0,0,1,0,0,18,2,0,0,240,0.0
37,0.949,0,0,0,0,0,11,0,1,3,42,0.0
23,0.939,0,0,0,1,0,6,0,1,0,16,1.0
54,0.64,0,0,0,0,0,0,0,0,2,40,1.0
0,0.92,0,0,0,0,0,2,6,1,5,94,0.0
55,0.794,0,1,0,0,0,19,3,0,0,160,0.0
35,0.878,0,1,2,0,0,12,5,2,0,25,0.0
56,0.516,0,0,0,0,0,19,1,2,0,11,0.0
35,0.878,0,0,0,2,0,3,6,0,0,29,0.0
27,0.698,0,0,0,0,0,20,6,0,0,23,0.0
52,0.727,0,0,0,0,0,12,5,0,5,113,0.0
22,0.754,0,0,0,0,0,1,5,0,5,56,0.0
17,0.924,0,1,1,0,0,8,5,0,0,39,1.0
0,0.92,0,1,0,0,0,8,4,0,0,20,0.0
6,0.92,0,0,1,0,0,0,2,0,0,40,0.0
0,0.92,0,0,0,1,0,0,1,0,1,56,0.0
51,0.555,0,1,1,0,0,11,1,0,0,106,0.0
9,0.926,0,0,2,0,0,15,7,0,5,64,0.0
22,0.754,0,0,0,0,0,2,2,0,0,51,0.0
13,0.855,1,0,1,0,0,18,4,0,5,41,0.0
0,0.92,1,0,0,0,0,21,6,0,1,150,0.0
34,0.579,0,0,0,0,0,11,5,0,0,320,0.0
36,0.897,0,0,0,1,0,6,5,0,2,20,0.0
2,0.624,0,1,1,1,0,11,4,0,0,9,1.0
12,0.804,0,0,1,0,0,19,3,0,0,74,0.0
2,0.624,0,0,0,1,0,17,3,4,0,129,1.0
13,0.855,1,0,0,1,0,12,3,4,0,42,0.0
8,0.913,1,1,0,2,0,8,6,0,2,58,0.0
0,0.92,0,1,1,2,0,17,6,0,0,126,1.0
0,0.92,0,1,0,2,0,11,6,0,0,45,1.0
20,0.923,0,0,0,0,0,0,5,0,1,166,0.0
8,0.913,0,0,0,0,0,8,0,0,0,110,0.0
0,0.92,0,0,1,0,0,0,0,0,0,37,0.0
12,0.804,1,0,2,0,0,8,0,0,0,95,1.0
0,0.92,0,0,0,0,0,0,0,0,1,29,1.0
9,0.926,0,0,0,1,0,0,0,0,1,31,0.0
57,0.743,0,1,1,1,0,4,0,0,1,97,0.0
9,0.926,0,1,0,4,0,17,0,0,2,16,0.0
0,0.92,0,1,0,4,0,11,0,0,2,14,0.0
12,0.804,0,0,0,3,0,0,6,0,1,206,0.0
0,0.92,1,0,0,0,0,8,5,1,0,204,0.0
0,0.92,0,0,0,1,0,14,2,0,5,116,0.0
12,0.804,0,0,0,1,0,9,6,0,3,161,0.0
6,0.92,0,0,0,0,0,0,6,0,1,25,1.0
0,0.92,0,0,0,0,0,14,7,0,1,94,0.0
0,0.92,0,0,0,0,0,1,2,0,1,16,0.0
27,0.698,0,0,1,1,0,1,2,0,0,100,0.0
0,0.92,0,0,0,0,0,21,2,0,2,107,0.0
42,0.769,0,0,2,1,0,4,2,0,0,17,0.0
15,0.91,0,0,0,0,0,12,1,0,0,140,0.0
23,0.939,0,0,0,0,3,17,2,0,5,75,0.0
23,0.939,0,0,0,2,3,18,2,0,0,59,0.0
58,0.899,0,0,0,2,3,18,0,0,0,146,0.0
26,0.865,0,1,0,2,3,17,0,0,2,302,0.0
13,0.855,1,0,0,1,0,19,6,0,5,42,1.0
0,0.92,1,0,0,0,4,13,6,0,0,131,0.0
47,0.698,1,0,2,2,4,19,6,0,3,74,0.0
15,0.91,1,0,0,0,0,6,2,0,0,22,0.0
12,0.804,1,1,0,0,0,17,2,0,2,53,1.0
8,0.913,0,0,0,1,0,0,7,0,1,143,0.0
13,0.855,1,0,0,0,0,13,0,0,5,72,0.0
0,0.92,0,0,0,2,0,4,7,0,0,7,0.0
36,0.897,0,1,1,0,0,17,0,2,0,182,0.0
59,0.915,0,0,0,0,0,1,0,0,3,50,0.0
14,0.887,0,0,0,2,0,8,0,4,0,82,0.0
15,0.91,0,0,0,0,0,8,2,0,0,58,0.0
17,0.924,0,0,0,0,0,19,5,0,0,94,0.0
2,0.624,0,0,0,0,0,11,1,0,5,60,1.0
33,0.802,0,0,1,1,0,2,6,0,3,124,0.0
60,0.6890000000000001,0,1,0,4,0,8,6,0,5,46,0.0
31,0.698,0,1,1,1,0,17,6,5,5,57,1.0
6,0.92,1,0,0,0,0,19,0,0,0,17,0.0
0,0.92,1,0,0,0,0,13,3,0,1,101,0.0
44,0.698,0,1,0,4,0,17,3,0,2,31,0.0
36,0.897,0,0,0,0,0,0,3,0,0,36,0.0
28,0.893,0,0,2,0,0,1,3,0,3,198,0.0
15,0.91,0,1,0,1,0,2,2,0,2,31,0.0
25,0.55,0,0,0,1,0,19,0,0,0,12,0.0
0,0.92,0,0,0,0,0,0,0,1,0,31,0.0
0,0.92,0,0,0,0,0,21,0,1,1,26,1.0
0,0.92,0,0,0,0,0,18,0,0,0,55,0.0
2,0.624,0,0,0,0,0,4,0,0,1,8,1.0
15,0.91,0,0,0,2,0,0,6,0,1,38,0.0
58,0.899,0,0,0,0,3,9,6,0,5,8,0.0
35,0.878,0,0,0,1,0,0,4,0,4,32,1.0
1,0.7759999999999999,0,0,2,0,0,14,6,1,1,51,0.0
12,0.804,0,0,1,0,0,19,3,0,5,22,0.0
9,0.926,0,0,1,2,0,6,3,0,0,17,0.0
15,0.91,0,1,1,2,0,17,3,0,2,24,0.0
58,0.899,0,0,0,0,0,2,5,1,0,19,0.0
2,0.624,0,0,1,1,0,19,0,0,5,46,1.0
15,0.91,1,0,0,0,0,5,0,0,1,15,0.0
6,0.92,0,0,0,1,0,0,0,0,1,23,1.0
28,0.893,0,0,0,0,0,0,6,0,1,38,0.0
2,0.624,0,1,1,1,0,11,6,0,2,46,1.0
12,0.804,0,1,1,0,1,3,6,0,2,214,0.0
0,0.92,0,0,0,0,0,0,4,4,1,52,0.0
0,0.92,1,1,0,0,0,3,4,4,2,22,1.0
9,0.926,0,0,0,1,0,1,6,0,5,65,0.0
6,0.92,0,0,1,0,4,13,0,0,0,64,0.0
0,0.92,0,0,0,0,0,6,3,0,3,86,0.0
14,0.887,0,1,1,0,0,11,3,0,0,52,1.0
36,0.897,0,0,0,1,0,13,3,0,1,21,0.0
9,0.926,0,1,0,0,0,17,4,4,0,86,0.0
36,0.897,0,1,1,1,0,2,4,4,3,288,1.0
15,0.91,0,0,0,1,0,0,6,0,1,53,0.0
23,0.939,0,0,0,0,0,7,0,0,0,60,0.0
15,0.91,0,0,0,1,0,14,0,0,1,178,0.0
23,0.939,0,0,0,3,0,0,0,0,5,166,0.0
17,0.924,0,0,0,3,3,0,0,0,0,62,0.0
2,0.624,0,0,1,0,0,6,2,0,0,35,0.0
0,0.92,0,0,0,0,0,7,6,0,1,106,0.0
40,0.836,0,1,0,0,0,18,1,0,2,58,0.0
27,0.698,0,0,1,1,0,18,1,0,2,44,1.0
15,0.91,0,0,1,1,0,18,0,1,0,72,0.0
0,0.92,0,0,0,2,0,14,2,0,0,80,0.0
23,0.939,0,0,0,1,0,9,3,5,5,166,0.0
61,0.895,0,0,0,1,0,0,6,0,0,25,0.0
0,0.92,0,0,0,0,1,0,2,0,2,109,0.0
16,0.884,0,0,0,0,0,10,1,2,0,37,0.0
25,0.55,0,1,1,0,0,11,1,2,2,55,1.0
0,0.92,0,1,1,0,0,17,1,2,2,32,0.0
62,0.89,0,1,0,0,0,19,0,0,4,51,0.0
0,0.92,0,0,0,0,0,9,0,1,0,84,0.0
9,0.926,0,0,0,0,0,0,7,5,0,72,0.0
14,0.887,0,0,0,2,0,0,6,0,0,47,0.0
13,0.855,0,1,1,0,0,16,6,0,3,47,0.0
22,0.754,0,0,1,2,0,18,1,1,5,20,0.0
2,0.624,0,0,0,0,0,20,1,1,0,198,1.0
0,0.92,0,1,0,0,5,8,4,4,0,64,0.0
39,0.8959999999999999,0,0,0,1,0,1,2,0,1,23,1.0
16,0.884,0,1,1,1,0,13,6,4,4,96,0.0
2,0.624,0,1,0,2,0,8,6,0,2,306,0.0
22,0.754,0,0,0,0,0,19,1,5,0,8,0.0
7,0.762,0,0,0,0,0,0,6,0,0,48,0.0
2,0.624,0,0,0,0,0,20,5,0,0,98,1.0
9,0.926,0,1,0,3,0,6,7,5,2,46,0.0
0,0.92,0,1,1,0,0,10,7,5,0,53,1.0
0,0.92,0,0,0,0,2,0,1,0,0,102,0.0
6,0.92,0,1,1,0,0,11,1,0,0,76,0.0
0,0.92,0,1,0,4,0,10,1,0,2,43,0.0
0,0.92,0,1,0,0,0,0,0,0,1,32,0.0
13,0.855,0,0,0,0,0,2,0,0,0,54,0.0
4,0.767,0,0,1,1,0,20,5,0,0,7,0.0
16,0.884,1,0,0,1,0,17,5,0,5,322,1.0
63,0.847,1,0,0,1,0,0,7,0,2,96,0.0
6,0.92,1,0,1,0,0,11,3,0,0,7,0.0
15,0.91,0,0,0,0,0,9,5,0,0,53,0.0
13,0.855,0,0,0,0,0,12,5,1,0,161,0.0
36,0.897,0,1,0,1,0,20,5,0,0,11,0.0
24,0.8270000000000001,0,0,0,0,0,19,6,4,5,6,0.0
2,0.624,0,1,1,0,0,10,0,4,0,72,1.0
21,0.794,1,0,0,1,3,18,0,0,0,182,0.0
23,0.939,0,0,0,0,0,0,3,0,1,67,0.0
64,0.527,1,1,0,0,0,10,3,0,0,50,0.0
16,0.884,1,1,2,0,0,2,6,0,0,16,0.0
15,0.91,0,0,0,0,0,0,2,0,1,38,0.0
0,0.92,2,0,0,0,2,2,5,2,0,98,0.0
45,0.698,0,1,2,0,0,11,5,2,5,7,1.0
6,0.92,0,1,1,0,0,8,5,2,0,88,0.0
16,0.884,0,0,0,1,0,11,6,0,5,112,0.0
65,0.7659999999999999,2,0,1,0,0,1,3,0,2,30,1.0
66,0.738,2,0,0,0,0,19,0,1,0,9,0.0
13,0.855,2,1,1,2,0,11,2,0,0,36,0.0
15,0.91,0,0,0,0,0,15,6,0,3,24,0.0
0,0.92,0,0,0,1,3,8,2,5,0,28,0.0
35,0.878,0,0,2,0,0,12,0,4,0,166,0.0
2,0.624,0,0,1,1,0,12,0,0,5,61,1.0
7,0.762,0,0,0,0,0,0,0,4,4,24,0.0
15,0.91,0,1,1,0,0,12,0,4,0,8,1.0
50,0.903,0,0,0,0,0,19,0,4,0,133,0.0
13,0.855,0,0,0,0,0,13,0,4,1,143,0.0
35,0.878,0,0,0,0,0,0,5,0,1,29,0.0
0,0.92,0,0,0,0,0,6,2,0,0,53,0.0
0,0.92,0,0,0,0,0,19,2,4,1,11,1.0
2,0.624,0,0,0,0,0,11,0,4,0,7,0.0
7,0.762,0,0,0,0,0,20,0,0,1,87,0.0
0,0.92,0,0,0,0,0,20,5,1,0,18,0.0
24,0.8270000000000001,0,0,0,0,2,19,4,0,0,76,1.0
2,0.624,0,0,0,0,0,18,2,0,0,114,0.0
0,0.92,0,1,1,2,0,2,2,0,0,56,0.0
